Date	BRCA1	RNF53	BRCC1	PPP1R53	FANCS	BRCA2	FANCD1	FACD	FANCD	FAD	FAD1	BRCC2	XRCC11
1977-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1977-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-5	0	0	0	0	0	0	0	0	0	2	0	0	0
1978-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1978-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1979-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1980-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1981-11	0	0	0	0	0	0	0	0	0	1	0	0	0
1981-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1982-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-10	0	0	0	0	0	0	0	0	0	3	0	0	0
1983-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1983-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1984-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1984-2	0	0	0	0	0	0	0	0	0	1	0	0	0
1984-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1984-4	0	0	0	0	0	0	0	0	0	1	0	0	0
1984-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1984-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1984-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1984-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1984-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1984-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1984-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1984-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1985-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-4	0	0	0	0	0	0	0	0	0	1	0	0	0
1986-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1986-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1987-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1987-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1987-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1987-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1987-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1987-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1987-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1987-8	0	0	0	0	0	0	0	0	0	1	0	0	0
1987-9	0	0	0	0	0	0	0	0	0	4	0	0	0
1987-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1987-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1987-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1988-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1988-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1988-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1988-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1988-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1988-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1988-7	0	0	0	0	0	0	0	0	0	1	0	0	0
1988-8	0	0	0	0	0	0	0	0	0	1	0	0	0
1988-9	0	0	0	0	0	0	0	0	0	1	0	0	0
1988-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1988-11	0	0	0	0	0	0	0	0	0	1	0	0	0
1988-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-1	0	0	0	0	0	0	0	0	0	4	0	0	0
1989-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1989-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-3	0	0	0	0	0	0	0	0	0	1	0	0	0
1990-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-8	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1990-11	0	0	0	0	0	0	0	0	0	1	0	0	0
1990-12	0	0	0	0	0	0	0	0	0	1	0	0	0
1991-1	0	0	0	0	0	0	0	0	0	1	0	0	0
1991-2	0	0	0	0	0	0	0	0	0	2	0	0	0
1991-3	0	0	0	0	0	0	0	0	0	1	0	0	0
1991-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1991-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1991-6	0	0	0	0	0	0	0	0	0	1	0	0	0
1991-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1991-8	0	0	0	0	0	0	0	0	0	1	0	0	0
1991-9	0	0	0	0	0	0	0	0	0	0	0	0	0
1991-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1991-11	0	0	0	0	0	0	0	0	0	0	0	0	0
1991-12	0	0	0	0	0	0	0	0	0	2	0	0	0
1992-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1992-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1992-3	0	0	0	0	0	0	0	0	0	0	0	0	0
1992-4	0	0	0	0	0	0	0	0	0	0	0	0	0
1992-5	0	0	0	0	0	0	0	0	0	1	0	0	0
1992-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1992-7	0	0	0	0	0	0	0	0	0	2	0	0	0
1992-8	0	0	0	0	0	0	0	0	0	2	0	0	0
1992-9	0	0	0	0	0	0	0	0	0	5	0	0	0
1992-10	0	0	0	0	0	0	0	0	0	1	0	0	0
1992-11	0	0	0	0	0	0	0	0	0	2	0	0	0
1992-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1993-1	0	0	0	0	0	0	0	0	0	0	0	0	0
1993-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1993-3	1	0	0	0	0	0	0	0	0	0	0	0	0
1993-4	6	0	0	0	0	0	0	0	0	2	0	0	0
1993-5	0	0	0	0	0	0	0	0	0	0	0	0	0
1993-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1993-7	0	0	0	0	0	0	0	0	0	1	0	0	0
1993-8	1	0	0	0	0	0	0	0	0	0	0	0	0
1993-9	1	0	0	0	0	0	0	0	0	5	0	0	0
1993-10	0	0	0	0	0	0	0	0	0	0	0	0	0
1993-11	1	0	0	0	0	0	0	0	0	6	0	0	0
1993-12	0	0	0	0	0	0	0	0	0	0	0	0	0
1994-1	2	0	0	0	0	0	0	0	0	1	0	0	0
1994-2	0	0	0	0	0	0	0	0	0	0	0	0	0
1994-3	5	0	0	0	0	0	0	0	0	1	0	0	0
1994-4	0	0	0	0	0	0	0	0	0	2	0	0	0
1994-5	2	0	0	0	0	0	0	0	0	0	0	0	0
1994-6	0	0	0	0	0	0	0	0	0	0	0	0	0
1994-7	0	0	0	0	0	0	0	0	0	0	0	0	0
1994-8	3	0	0	0	0	0	0	0	0	0	0	0	0
1994-9	3	0	0	0	0	1	0	0	0	2	0	0	0
1994-10	3	0	0	0	0	0	0	0	0	0	0	0	0
1994-11	1	0	0	0	0	0	0	0	0	0	0	0	0
1994-12	3	0	0	0	0	0	0	0	0	3	0	0	0
1995-1	8	0	0	0	0	4	0	0	0	2	0	0	0
1995-2	2	0	0	0	0	0	0	0	0	1	0	0	0
1995-3	5	0	0	0	0	0	0	0	0	0	0	0	0
1995-4	9	0	0	0	0	2	0	0	0	0	0	0	0
1995-5	3	0	0	0	0	0	0	0	0	2	0	0	0
1995-6	3	0	0	0	0	1	0	0	0	2	0	0	0
1995-7	1	0	0	0	0	0	0	0	0	0	0	0	0
1995-8	3	0	0	0	0	2	0	0	0	1	0	0	0
1995-9	3	0	0	0	0	1	0	0	0	0	0	0	0
1995-10	6	0	0	0	0	1	0	0	0	1	0	0	0
1995-11	3	0	0	0	0	0	0	0	0	0	0	0	0
1995-12	3	0	0	0	0	2	0	0	0	0	0	0	0
1996-1	4	0	0	0	0	1	0	0	0	0	0	0	0
1996-2	4	0	0	0	0	2	0	0	0	0	0	0	0
1996-3	2	0	0	0	0	0	0	0	0	0	0	0	0
1996-4	1	0	0	0	0	2	0	0	0	2	0	0	0
1996-5	2	0	0	0	0	0	0	0	0	2	0	0	0
1996-6	5	0	0	0	0	1	0	0	0	3	0	0	0
1996-7	10	0	0	0	0	2	0	0	0	1	0	0	0
1996-8	2	0	0	0	0	5	0	0	0	2	0	0	0
1996-9	0	0	0	0	0	0	0	0	0	8	0	0	0
1996-10	10	0	0	0	0	4	0	0	0	0	0	0	0
1996-11	10	0	0	0	0	3	0	0	0	3	0	0	0
1996-12	6	0	0	0	0	0	0	0	0	1	0	0	0
1997-1	28	0	0	0	0	19	0	0	0	0	0	0	0
1997-2	8	0	0	0	0	1	0	0	0	0	0	0	0
1997-3	4	0	0	0	0	1	0	0	0	2	0	0	0
1997-4	10	0	0	0	0	8	0	0	0	2	0	0	0
1997-5	9	0	0	0	0	8	0	0	0	0	0	0	0
1997-6	4	0	0	0	0	3	0	0	0	0	0	0	0
1997-7	4	0	0	0	0	4	0	0	0	0	0	0	0
1997-8	6	0	0	0	0	2	0	0	0	1	0	0	0
1997-9	10	0	0	0	0	2	0	0	0	1	0	0	0
1997-10	4	0	0	0	0	0	0	0	0	0	0	0	1
1997-11	4	0	0	0	0	1	0	0	0	1	0	0	0
1997-12	6	0	0	0	0	3	0	0	0	0	0	0	0
1998-1	7	0	0	0	0	6	0	0	0	1	0	0	0
1998-2	11	0	0	0	0	3	0	0	0	2	0	0	0
1998-3	16	0	0	0	0	10	0	0	0	1	0	0	0
1998-4	19	0	0	0	0	12	0	0	0	2	0	0	0
1998-5	24	0	0	0	0	9	0	0	0	3	0	0	0
1998-6	30	0	0	0	0	14	0	0	0	1	0	0	0
1998-7	23	0	0	0	0	14	0	0	0	2	0	0	0
1998-8	15	0	0	0	0	6	0	0	0	2	0	0	0
1998-9	6	0	0	0	0	4	0	0	0	5	0	0	0
1998-10	23	0	0	0	0	16	0	0	0	3	0	0	0
1998-11	12	0	0	0	0	7	0	0	1	6	0	0	0
1998-12	14	0	0	0	0	6	0	0	0	0	0	0	0
1999-1	17	0	0	0	0	6	0	0	0	0	0	0	0
1999-2	17	0	0	0	0	8	0	0	0	1	0	0	0
1999-3	29	0	0	0	0	11	0	0	0	1	0	0	0
1999-4	22	0	0	0	0	17	0	0	1	3	0	0	0
1999-5	9	0	0	0	0	8	0	0	0	1	0	0	0
1999-6	22	0	0	0	0	19	0	0	0	0	0	0	0
1999-7	19	0	0	0	0	10	0	0	0	3	0	0	0
1999-8	24	0	0	0	0	19	0	0	0	0	0	0	0
1999-9	15	0	0	0	0	9	0	0	0	3	0	0	0
1999-10	12	0	0	0	0	10	0	0	0	3	0	0	0
1999-11	14	0	0	0	0	7	0	0	0	2	0	0	0
1999-12	29	0	0	0	0	22	0	0	0	0	0	0	0
2000-1	17	0	0	0	0	11	0	0	0	2	0	0	0
2000-2	26	0	0	0	0	14	0	0	0	6	0	0	0
2000-3	21	0	0	0	0	16	0	0	0	2	0	0	0
2000-4	11	0	0	0	0	9	0	0	1	1	0	0	0
2000-5	51	0	0	0	0	34	0	0	0	0	0	0	0
2000-6	22	0	0	0	0	9	0	0	0	2	0	0	0
2000-7	19	0	0	0	0	9	0	0	0	3	0	0	0
2000-8	46	0	0	0	0	23	0	0	0	3	0	0	0
2000-9	17	0	0	0	0	12	0	0	0	2	0	0	0
2000-10	26	0	0	0	0	11	0	0	0	1	0	0	0
2000-11	38	0	0	0	0	20	0	0	0	1	0	0	0
2000-12	18	0	0	0	0	7	0	0	0	0	0	0	0
2001-1	16	0	0	0	0	8	0	0	0	0	0	0	0
2001-2	24	0	0	0	0	11	0	0	0	2	0	0	0
2001-3	42	0	0	0	0	26	1	0	0	1	0	0	0
2001-4	15	0	0	0	0	9	0	0	0	1	0	0	0
2001-5	30	0	0	0	0	24	0	0	0	1	0	0	0
2001-6	18	0	0	0	0	10	0	0	0	1	0	0	0
2001-7	25	0	0	0	0	17	0	0	0	1	0	0	0
2001-8	15	0	0	0	0	8	0	0	0	1	0	0	0
2001-9	17	0	0	0	0	11	0	0	0	0	0	0	0
2001-10	16	0	0	0	0	8	1	0	0	8	0	0	0
2001-11	1	0	0	0	0	0	0	0	0	0	0	0	0
2001-12	0	0	0	0	0	0	0	0	0	0	0	0	0
2002-1	25	0	0	0	0	17	0	0	0	18	0	0	0
2002-2	13	0	0	0	0	9	0	0	0	2	0	0	0
2002-3	35	0	0	0	0	22	0	0	0	3	0	0	0
2002-4	18	0	0	0	0	11	0	0	0	4	0	0	0
2002-5	19	0	0	0	0	7	0	0	0	1	0	0	0
2002-6	22	0	0	0	0	10	0	0	0	2	0	0	0
2002-7	31	0	0	0	0	22	2	0	0	1	0	0	0
2002-8	28	0	0	0	0	14	0	0	0	1	0	0	0
2002-9	29	0	0	0	0	27	0	0	0	0	0	0	0
2002-10	40	0	0	0	0	20	0	0	0	2	0	0	0
2002-11	20	0	0	0	0	14	0	0	0	2	0	0	0
2002-12	26	0	0	0	0	18	0	0	0	1	0	0	0
2003-1	24	0	0	0	0	13	0	0	0	0	0	0	0
2003-2	20	0	0	0	0	9	0	0	0	1	0	0	0
2003-3	16	0	0	0	0	12	0	0	0	2	0	0	0
2003-4	45	0	0	0	0	19	0	0	0	0	0	0	0
2003-5	23	0	0	0	0	9	0	0	0	1	0	0	0
2003-6	18	0	0	0	0	5	0	0	0	2	2	0	0
2003-7	24	0	0	0	0	18	0	0	0	1	0	0	0
2003-8	22	0	0	0	0	13	1	0	0	0	0	0	0
2003-9	21	0	0	0	0	9	0	0	0	2	0	0	0
2003-10	41	0	0	0	0	15	0	0	0	0	0	0	0
2003-11	7	0	0	0	0	3	0	0	0	2	0	0	0
2003-12	28	0	0	0	0	30	0	0	0	1	0	0	0
2004-1	28	0	0	0	0	15	0	0	0	0	0	0	0
2004-2	20	0	0	0	0	13	0	0	0	0	0	0	0
2004-3	18	0	0	0	0	10	0	0	0	3	0	0	0
2004-4	20	0	0	0	0	17	0	0	0	3	0	2	0
2004-5	49	0	0	0	0	15	0	0	0	2	0	0	0
2004-6	19	0	0	0	0	7	1	0	0	0	0	0	0
2004-7	31	0	0	0	0	21	0	0	0	1	0	0	0
2004-8	16	0	0	0	0	12	0	0	0	1	0	0	0
2004-9	28	0	0	0	0	29	0	0	0	3	0	0	0
2004-10	7	0	0	0	0	6	0	0	0	1	0	0	0
2004-11	28	0	0	0	0	22	0	0	0	0	0	0	0
2004-12	18	0	0	0	0	15	0	0	0	1	0	0	0
2005-1	15	0	0	0	0	13	0	0	0	1	0	0	0
2005-2	35	0	0	0	0	20	0	0	0	2	0	0	0
2005-3	25	0	0	0	0	12	0	0	0	6	0	0	0
2005-4	15	0	0	0	0	8	0	0	0	1	0	0	0
2005-5	23	0	0	0	0	15	0	0	0	0	0	0	0
2005-6	37	0	0	0	0	16	0	0	0	3	0	0	0
2005-7	32	0	0	0	0	22	0	0	0	1	0	0	0
2005-8	22	0	0	0	0	10	4	0	0	2	0	0	0
2005-9	30	0	0	0	0	18	0	0	0	4	0	0	0
2005-10	23	0	0	0	0	10	0	0	0	2	0	0	0
2005-11	19	0	0	0	0	11	0	0	0	1	0	0	0
2005-12	18	0	0	0	0	8	0	0	0	2	0	0	0
2006-1	13	0	0	0	0	12	0	0	0	2	0	0	0
2006-2	34	0	0	0	0	20	0	0	0	1	0	0	0
2006-3	50	0	0	0	0	34	0	0	0	2	0	0	0
2006-4	24	0	0	0	0	18	0	0	0	7	0	0	0
2006-5	11	0	0	0	0	9	0	0	0	4	0	0	0
2006-6	27	0	0	0	0	13	0	0	0	1	0	0	0
2006-7	26	0	0	0	0	16	0	0	0	0	0	0	0
2006-8	30	0	0	0	0	12	0	0	0	6	0	0	0
2006-9	38	0	0	0	0	18	0	0	0	2	0	0	0
2006-10	24	0	0	0	0	12	0	0	0	1	0	0	0
2006-11	18	0	0	0	0	12	0	0	0	5	0	0	0
2006-12	19	0	0	0	0	14	0	0	0	1	0	0	0
2007-1	28	0	0	0	0	13	0	0	0	1	0	0	0
2007-2	19	0	0	0	0	18	0	0	0	0	0	0	0
2007-3	32	0	0	0	0	17	0	0	0	0	0	0	0
2007-4	23	0	0	0	0	12	0	0	0	1	0	0	0
2007-5	21	0	0	0	0	17	0	0	0	1	0	0	0
2007-6	11	0	0	0	0	18	0	0	0	1	0	0	0
2007-7	42	0	0	0	0	23	0	0	0	3	0	0	0
2007-8	14	0	0	0	0	9	0	0	0	0	0	0	0
2007-9	30	0	0	0	0	21	0	0	0	1	0	0	0
2007-10	33	0	0	0	0	21	0	0	0	2	0	0	0
2007-11	34	0	0	0	0	15	0	0	0	2	0	0	0
2007-12	25	0	0	0	0	15	0	0	0	0	0	0	0
2008-1	32	0	0	0	0	18	0	0	0	0	0	0	0
2008-2	39	0	0	0	0	31	1	0	0	0	0	0	0
